,S,B,C,L
2019-02-21,0.20882468326176595,0.0,0.13155270649302325,0.6596226102452107
2019-02-22,0.21808643926819346,1.6009298548839375e-18,0.12969788997768728,0.6522156707541193
2019-02-25,0.2219354284684225,0.0,0.12626481175763854,0.651799759773939
2019-02-26,0.23215593922630068,0.0,0.11200240046173295,0.6558416603119664
2019-02-27,0.23105516393335537,0.0,0.1130146495717939,0.6559301864948508
2019-02-28,0.23312637142132037,0.0,0.1230169308589787,0.643856697719701
2019-03-01,0.2351237433757989,1.4082769781049997e-17,0.1298355520919741,0.635040704532227
2019-03-04,0.2581161660704037,4.997631138739701e-18,0.11431732745705708,0.6275665064725392
2019-03-05,0.2787590113043355,9.449499559568975e-18,0.08396839587957915,0.6372725928160853
2019-03-06,0.25958303796150467,0.0,0.10271741146152882,0.6376995505769666
2019-03-07,0.2639689728226247,0.0,0.10122772588853331,0.634803301288842
2019-03-08,0.27693977527890457,7.403842404456086e-18,0.09630900437745178,0.6267512203436437
2019-03-11,0.28759013478713186,0.0,0.10134584151241942,0.6110640237004488
2019-03-12,0.314765277737678,1.0410670196465792e-17,0.12524693830135258,0.5599877839609694
2019-03-13,0.3247659534018859,2.939374496159045e-20,0.11453923566253504,0.560694810935579
2019-03-14,0.3300270393555511,0.0,0.10024756196771258,0.5697253986767364
2019-03-15,0.3408206617628135,0.0,0.08915023650576435,0.5700291017314221
2019-03-18,0.335438666994739,2.5858221813779282e-18,0.1000298744065651,0.5645314585986959
2019-03-19,0.3333264056543915,3.6543300244566185e-18,0.10945650390402543,0.5572170904415831
2019-03-20,0.3430903123345418,3.972698214312358e-18,0.13775411878210575,0.5191555688833526
2019-03-21,0.36743653503132506,0.0,0.12393761255415527,0.5086258524145197
2019-03-22,0.35245351631094346,0.0,0.15018907494436196,0.4973574087446947
2019-03-25,0.36245840249497147,1.7869268751610324e-17,0.12235004360375432,0.5151915539012742
2019-03-26,0.35419142997860964,2.3441431342726116e-18,0.12860738668562233,0.5172011833357681
2019-03-27,0.3540121017223245,2.5604172198031513e-18,0.12655003660491612,0.5194378616727594
2019-03-28,0.35104584587880144,0.0,0.13652059292997748,0.5124335611912211
2019-03-29,0.3480886499316857,0.0,0.14664789440975953,0.5052634556585548
2019-04-01,0.34749171235280363,1.752861331057243e-18,0.1471621534639756,0.5053461341832207
2019-04-02,0.3534734297325951,0.0,0.15221314170071482,0.4943134285666901
2019-04-03,0.35555316469717574,1.0770870957285683e-17,0.15788082373610887,0.4865660115667154
2019-04-04,0.3640671709055533,0.0,0.16960835715849712,0.46632447193594956
2019-04-05,0.3635469481386486,3.1834850514471676e-19,0.17069623938248507,0.46575681247886636
2019-04-08,0.3606509894875922,0.0,0.17053135068114214,0.4688176598312656
2019-04-09,0.35834821881236256,0.0,0.17783120030958022,0.4638205808780573
2019-04-10,0.35051342625713583,3.972816677566089e-18,0.1960529781677532,0.45343359557511104
2019-04-11,0.3449009734438759,3.554175766891532e-18,0.1989386008824407,0.4561604256736834
2019-04-12,0.36261200139566896,0.0,0.19285190159050603,0.44453609701382507
2019-04-15,0.39180253944742416,4.3029273720518457e-19,0.14959009670977327,0.45860736384280265
2019-04-16,0.401273715070588,5.222805152770016e-18,0.13262187756218807,0.4661044073672239
2019-04-17,0.4056215651222537,3.3881317890172014e-21,0.1309618118858497,0.4634166229918966
2019-04-18,0.4150471962635446,6.4543910580777686e-18,0.1127886966794135,0.4721641070570419
2019-04-22,0.41015610442339195,0.027466255831393508,0.10813491445928222,0.4542427252859324
2019-04-23,0.33370477550002575,0.2690753255258602,0.10491818380874539,0.2923017151653687
2019-04-24,0.35434663141444317,0.15985937066136277,0.12737531321579715,0.35841868470839694
2019-04-25,0.3465966356186074,0.16057397161589015,0.13930796219530556,0.35352143057019697
2019-04-26,0.3183544291611647,0.2775423935549247,0.12727320694234318,0.2768299703415674
2019-04-29,0.31571309104500395,0.2498567764106916,0.14682924352366736,0.28760088902063713
2019-04-30,0.3165841415231776,0.23983645207478016,0.15266461413805552,0.2909147922639867
2019-05-01,0.29998522282648016,0.274472024234579,0.17567418638877924,0.24986856655016165
2019-05-02,0.3240390950092992,0.1752963573529944,0.18941699400170633,0.3112475536360001
2019-05-03,0.38695119447853044,1.4399560103323106e-19,0.19601555934293904,0.4170332461785306
2019-05-06,0.3876424752450286,0.0,0.18096922540991253,0.43138829934505896
2019-05-07,0.3908301387989048,5.668767999499405e-19,0.17574813475848738,0.4334217264426078
2019-05-08,0.3687372099898521,0.0,0.17227215572539115,0.4589906342847567
2019-05-09,0.35952872071771247,8.92176860501161e-18,0.18566216331999133,0.45480911596229623
2019-05-10,0.3718524118167034,0.0,0.1525818953099656,0.475565692873331
